sync_product_id,product_name,sync_variant_id,color,size,sku,retail_price,currency
"408101801","Crop Hoodie","5110275867","Black","S","6941DA111E289_S","36.50","USD"
"408101801","Crop Hoodie","5110275868","Black","M","6941DA111E289_M","36.50","USD"
"408101801","Crop Hoodie","5110275870","Black","L","6941DA111E289_L","36.50","USD"
"408101801","Crop Hoodie","5110275871","Black","XL","6941DA111E289_XL","36.50","USD"
"408101801","Crop Hoodie","5110275872","Black","2XL","6941DA111E289_2XL","39.00","USD"
"407598341","Truth Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5107087637","White","S","693ECAB7F31BC_S","18.00","USD"
"407598341","Truth Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5107087638","White","M","693ECAB7F31BC_M","18.00","USD"
"407598341","Truth Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5107087639","White","L","693ECAB7F31BC_L","18.00","USD"
"407598341","Truth Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5107087640","White","XL","693ECAB7F31BC_XL","18.00","USD"
"407598341","Truth Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5107087641","White","2XL","693ECAB7F31BC_2XL","20.50","USD"
"407598341","Truth Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5107087642","White","3XL","693ECAB7F31BC_3XL","22.50","USD"
"407591493","Faith Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5107077984","White","S","693EC957746A4_S","18.00","USD"
"407591493","Faith Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5107077986","White","M","693EC957746A4_M","18.00","USD"
"407591493","Faith Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5107077988","White","L","693EC957746A4_L","18.00","USD"
"407591493","Faith Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5107077991","White","XL","693EC957746A4_XL","18.00","USD"
"407591493","Faith Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5107077993","White","2XL","693EC957746A4_2XL","20.50","USD"
"407591493","Faith Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5107077995","White","3XL","693EC957746A4_3XL","22.50","USD"
"407453890","TestProduct Can Cooler","5106480404","White","Regular 12 oz","693DCE1C71E88_Regular-12-oz","4.50","USD"
"407453890","TestProduct Can Cooler","5106480406","White","Slim 12 oz","693DCE1C71E88_Slim-12-oz","4.50","USD"
"407452483","Light Classic Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5106472202","White","S","693DCAD2B3FA5_S","18.00","USD"
"407452483","Light Classic Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5106472203","White","M","693DCAD2B3FA5_M","18.00","USD"
"407452483","Light Classic Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5106472204","White","L","693DCAD2B3FA5_L","18.00","USD"
"407452483","Light Classic Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5106472205","White","XL","693DCAD2B3FA5_XL","18.00","USD"
"407452483","Light Classic Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5106472206","White","2XL","693DCAD2B3FA5_2XL","20.50","USD"
"407452483","Light Classic Tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5106472207","White","3XL","693DCAD2B3FA5_3XL","22.50","USD"
"406872283","Garment-dyed heavyweight long-sleeve shirt","5100396130","White","S","6939F89B27693_S","30.00","USD"
"406872283","Garment-dyed heavyweight long-sleeve shirt","5100396131","White","M","6939F89B27693_M","30.00","USD"
"406872283","Garment-dyed heavyweight long-sleeve shirt","5100396132","White","L","6939F89B27693_L","30.00","USD"
"406872283","Garment-dyed heavyweight long-sleeve shirt","5100396133","White","XL","6939F89B27693_XL","30.00","USD"
"406872283","Garment-dyed heavyweight long-sleeve shirt","5100396134","White","2XL","6939F89B27693_2XL","32.00","USD"
"406872283","Garment-dyed heavyweight long-sleeve shirt","5100396135","White","3XL","6939F89B27693_3XL","34.00","USD"
"406374826","LOVE tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5092811008","White","S","693595799B4A7_S","19.50","USD"
"406374826","LOVE tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5092811009","White","M","693595799B4A7_M","19.50","USD"
"406374826","LOVE tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5092811010","White","L","693595799B4A7_L","19.50","USD"
"406374826","LOVE tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5092811011","White","XL","693595799B4A7_XL","19.50","USD"
"406374826","LOVE tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5092811012","White","2XL","693595799B4A7_2XL","22.00","USD"
"406374826","LOVE tee's sturdy cotton fabric keeps edges crisp  holds shape through repeated washes  and layers perfectly for streetwear looks. 100% Cotton","5092811013","White","3XL","693595799B4A7_3XL","24.00","USD"
"406372796","Multicolor Sweatshirt Sweatshirt is made of a fabric that feels like cotton and is super soft to the touch. Plus  the inside’s brushed fleece gives an extra comfy feel. ","5092796955","White","2XS","693590C4CC312_2XS","38.50","USD"
"406372796","Multicolor Sweatshirt Sweatshirt is made of a fabric that feels like cotton and is super soft to the touch. Plus  the inside’s brushed fleece gives an extra comfy feel. ","5092796956","White","XS","693590C4CC312_XS","38.50","USD"
"406372796","Multicolor Sweatshirt Sweatshirt is made of a fabric that feels like cotton and is super soft to the touch. Plus  the inside’s brushed fleece gives an extra comfy feel. ","5092796957","White","S","693590C4CC312_S","38.50","USD"
"406372796","Multicolor Sweatshirt Sweatshirt is made of a fabric that feels like cotton and is super soft to the touch. Plus  the inside’s brushed fleece gives an extra comfy feel. ","5092796958","White","M","693590C4CC312_M","38.50","USD"
"406372796","Multicolor Sweatshirt Sweatshirt is made of a fabric that feels like cotton and is super soft to the touch. Plus  the inside’s brushed fleece gives an extra comfy feel. ","5092796959","White","L","693590C4CC312_L","38.50","USD"
"406372796","Multicolor Sweatshirt Sweatshirt is made of a fabric that feels like cotton and is super soft to the touch. Plus  the inside’s brushed fleece gives an extra comfy feel. ","5092796960","White","XL","693590C4CC312_XL","38.50","USD"
"406372796","Multicolor Sweatshirt Sweatshirt is made of a fabric that feels like cotton and is super soft to the touch. Plus  the inside’s brushed fleece gives an extra comfy feel. ","5092796961","White","2XL","693590C4CC312_2XL","40.50","USD"
"406372796","Multicolor Sweatshirt Sweatshirt is made of a fabric that feels like cotton and is super soft to the touch. Plus  the inside’s brushed fleece gives an extra comfy feel. ","5092796962","White","3XL","693590C4CC312_3XL","42.50","USD"
"406372796","Multicolor Sweatshirt Sweatshirt is made of a fabric that feels like cotton and is super soft to the touch. Plus  the inside’s brushed fleece gives an extra comfy feel. ","5092796963","White","4XL","693590C4CC312_4XL","45.00","USD"
"406372796","Multicolor Sweatshirt Sweatshirt is made of a fabric that feels like cotton and is super soft to the touch. Plus  the inside’s brushed fleece gives an extra comfy feel. ","5092796964","White","5XL","693590C4CC312_5XL","47.00","USD"
"406372796","Multicolor Sweatshirt Sweatshirt is made of a fabric that feels like cotton and is super soft to the touch. Plus  the inside’s brushed fleece gives an extra comfy feel. ","5092796965","White","6XL","693590C4CC312_6XL","49.50","USD"
"406371194","Multi Color Joggers Perfect for athleisure fits and street style vibes  these trendy joggers feature a comfortable wide-leg cut and practical side pockets. Polyester/elastane blend","5092769335","White","2XS","69358C682FBB1_2XS","51.00","USD"
"406371194","Multi Color Joggers Perfect for athleisure fits and street style vibes  these trendy joggers feature a comfortable wide-leg cut and practical side pockets. Polyester/elastane blend","5092769336","White","XS","69358C682FBB1_XS","52.00","USD"
"406371194","Multi Color Joggers Perfect for athleisure fits and street style vibes  these trendy joggers feature a comfortable wide-leg cut and practical side pockets. Polyester/elastane blend","5092769337","White","S","69358C682FBB1_S","52.00","USD"
